events,time,date,date-time,reset,rtc_reset,device_id,stream,
123,4:45 PM,04-21-2026,04-21-2026 16:45:20,0,0,eGFP3,WHEEL,
124,4:45 PM,04-21-2026,04-21-2026 16:45:21,0,0,eGFP3,WHEEL,
125,4:45 PM,04-21-2026,04-21-2026 16:45:25,0,0,eGFP3,WHEEL,
126,4:45 PM,04-21-2026,04-21-2026 16:45:25,0,0,eGFP3,WHEEL,
127,4:45 PM,04-21-2026,04-21-2026 16:45:26,0,0,eGFP3,WHEEL,
128,4:45 PM,04-21-2026,04-21-2026 16:45:28,0,0,eGFP3,WHEEL,
129,4:45 PM,04-21-2026,04-21-2026 16:45:34,0,0,eGFP3,WHEEL,
130,4:45 PM,04-21-2026,04-21-2026 16:45:36,0,0,eGFP3,WHEEL,
131,4:45 PM,04-21-2026,04-21-2026 16:45:36,0,0,eGFP3,WHEEL,
132,4:45 PM,04-21-2026,04-21-2026 16:45:37,0,0,eGFP3,WHEEL,
133,4:45 PM,04-21-2026,04-21-2026 16:45:38,0,0,eGFP3,WHEEL,
134,4:45 PM,04-21-2026,04-21-2026 16:45:39,0,0,eGFP3,WHEEL,
135,4:45 PM,04-21-2026,04-21-2026 16:45:40,0,0,eGFP3,WHEEL,
136,4:45 PM,04-21-2026,04-21-2026 16:45:41,0,0,eGFP3,WHEEL,
137,4:45 PM,04-21-2026,04-21-2026 16:45:41,0,0,eGFP3,WHEEL,
138,4:45 PM,04-21-2026,04-21-2026 16:45:42,0,0,eGFP3,WHEEL,
139,4:45 PM,04-21-2026,04-21-2026 16:45:43,0,0,eGFP3,WHEEL,
140,4:45 PM,04-21-2026,04-21-2026 16:45:44,0,0,eGFP3,WHEEL,
141,4:45 PM,04-21-2026,04-21-2026 16:45:44,0,0,eGFP3,WHEEL,
142,4:45 PM,04-21-2026,04-21-2026 16:45:45,0,0,eGFP3,WHEEL,
143,4:45 PM,04-21-2026,04-21-2026 16:45:46,0,0,eGFP3,WHEEL,
144,4:45 PM,04-21-2026,04-21-2026 16:45:46,0,0,eGFP3,WHEEL,
145,4:45 PM,04-21-2026,04-21-2026 16:45:48,0,0,eGFP3,WHEEL,
146,4:45 PM,04-21-2026,04-21-2026 16:45:48,0,0,eGFP3,WHEEL,
147,4:45 PM,04-21-2026,04-21-2026 16:45:50,0,0,eGFP3,WHEEL,
148,4:45 PM,04-21-2026,04-21-2026 16:45:51,0,0,eGFP3,WHEEL,
149,4:45 PM,04-21-2026,04-21-2026 16:45:52,0,0,eGFP3,WHEEL,
150,4:45 PM,04-21-2026,04-21-2026 16:45:53,0,0,eGFP3,WHEEL,
151,4:45 PM,04-21-2026,04-21-2026 16:45:54,0,0,eGFP3,WHEEL,
152,4:45 PM,04-21-2026,04-21-2026 16:45:54,0,0,eGFP3,WHEEL,
153,4:45 PM,04-21-2026,04-21-2026 16:45:55,0,0,eGFP3,WHEEL,
154,4:45 PM,04-21-2026,04-21-2026 16:45:56,0,0,eGFP3,WHEEL,
155,4:45 PM,04-21-2026,04-21-2026 16:45:57,0,0,eGFP3,WHEEL,
156,4:45 PM,04-21-2026,04-21-2026 16:45:58,0,0,eGFP3,WHEEL,
157,4:45 PM,04-21-2026,04-21-2026 16:45:59,0,0,eGFP3,WHEEL,
158,4:46 PM,04-21-2026,04-21-2026 16:46:00,0,0,eGFP3,WHEEL,
159,4:46 PM,04-21-2026,04-21-2026 16:46:01,0,0,eGFP3,WHEEL,
160,4:46 PM,04-21-2026,04-21-2026 16:46:02,0,0,eGFP3,WHEEL,
161,4:46 PM,04-21-2026,04-21-2026 16:46:11,0,0,eGFP3,WHEEL,
162,4:46 PM,04-21-2026,04-21-2026 16:46:11,0,0,eGFP3,WHEEL,
163,4:46 PM,04-21-2026,04-21-2026 16:46:12,0,0,eGFP3,WHEEL,
164,4:46 PM,04-21-2026,04-21-2026 16:46:14,0,0,eGFP3,WHEEL,
165,4:46 PM,04-21-2026,04-21-2026 16:46:15,0,0,eGFP3,WHEEL,
166,4:46 PM,04-21-2026,04-21-2026 16:46:16,0,0,eGFP3,WHEEL,
167,4:46 PM,04-21-2026,04-21-2026 16:46:17,0,0,eGFP3,WHEEL,
168,4:46 PM,04-21-2026,04-21-2026 16:46:17,0,0,eGFP3,WHEEL,
169,4:46 PM,04-21-2026,04-21-2026 16:46:18,0,0,eGFP3,WHEEL,
170,4:46 PM,04-21-2026,04-21-2026 16:46:19,0,0,eGFP3,WHEEL,
171,4:46 PM,04-21-2026,04-21-2026 16:46:20,0,0,eGFP3,WHEEL,
172,4:46 PM,04-21-2026,04-21-2026 16:46:20,0,0,eGFP3,WHEEL,
173,4:46 PM,04-21-2026,04-21-2026 16:46:21,0,0,eGFP3,WHEEL,
174,4:46 PM,04-21-2026,04-21-2026 16:46:22,0,0,eGFP3,WHEEL,
175,4:46 PM,04-21-2026,04-21-2026 16:46:23,0,0,eGFP3,WHEEL,
176,4:46 PM,04-21-2026,04-21-2026 16:46:24,0,0,eGFP3,WHEEL,
177,4:46 PM,04-21-2026,04-21-2026 16:46:25,0,0,eGFP3,WHEEL,
178,4:46 PM,04-21-2026,04-21-2026 16:46:26,0,0,eGFP3,WHEEL,
179,4:46 PM,04-21-2026,04-21-2026 16:46:27,0,0,eGFP3,WHEEL,
180,4:46 PM,04-21-2026,04-21-2026 16:46:27,0,0,eGFP3,WHEEL,
181,4:46 PM,04-21-2026,04-21-2026 16:46:28,0,0,eGFP3,WHEEL,
182,4:46 PM,04-21-2026,04-21-2026 16:46:29,0,0,eGFP3,WHEEL,
183,4:46 PM,04-21-2026,04-21-2026 16:46:30,0,0,eGFP3,WHEEL,
184,4:46 PM,04-21-2026,04-21-2026 16:46:31,0,0,eGFP3,WHEEL,
185,4:46 PM,04-21-2026,04-21-2026 16:46:31,0,0,eGFP3,WHEEL,
186,4:46 PM,04-21-2026,04-21-2026 16:46:32,0,0,eGFP3,WHEEL,
187,4:46 PM,04-21-2026,04-21-2026 16:46:33,0,0,eGFP3,WHEEL,
188,4:46 PM,04-21-2026,04-21-2026 16:46:34,0,0,eGFP3,WHEEL,
189,4:46 PM,04-21-2026,04-21-2026 16:46:35,0,0,eGFP3,WHEEL,
190,4:46 PM,04-21-2026,04-21-2026 16:46:36,0,0,eGFP3,WHEEL,
191,4:46 PM,04-21-2026,04-21-2026 16:46:37,0,0,eGFP3,WHEEL,
192,4:46 PM,04-21-2026,04-21-2026 16:46:38,0,0,eGFP3,WHEEL,
193,4:46 PM,04-21-2026,04-21-2026 16:46:41,0,0,eGFP3,WHEEL,
194,4:46 PM,04-21-2026,04-21-2026 16:46:41,0,0,eGFP3,WHEEL,
195,4:46 PM,04-21-2026,04-21-2026 16:46:42,0,0,eGFP3,WHEEL,
196,4:46 PM,04-21-2026,04-21-2026 16:46:43,0,0,eGFP3,WHEEL,
