,eGFP6,calendar_date,time_decimal
2026-04-17 03:22:00,,2026-04-17,3.3666666666666667
2026-04-17 03:23:00,,2026-04-17,3.3833333333333333
2026-04-17 03:24:00,,2026-04-17,3.4
2026-04-17 03:25:00,,2026-04-17,3.4166666666666665
2026-04-17 03:26:00,,2026-04-17,3.4333333333333336
2026-04-17 03:27:00,,2026-04-17,3.45
2026-04-17 03:28:00,,2026-04-17,3.466666666666667
2026-04-17 03:29:00,,2026-04-17,3.4833333333333334
2026-04-17 03:30:00,,2026-04-17,3.5
2026-04-17 03:31:00,,2026-04-17,3.5166666666666666
2026-04-17 03:32:00,,2026-04-17,3.533333333333333
2026-04-17 03:33:00,,2026-04-17,3.55
2026-04-17 03:34:00,,2026-04-17,3.5666666666666664
2026-04-17 03:35:00,,2026-04-17,3.5833333333333335
2026-04-17 03:36:00,,2026-04-17,3.6
2026-04-17 03:37:00,,2026-04-17,3.6166666666666667
2026-04-17 03:38:00,,2026-04-17,3.6333333333333333
2026-04-17 03:39:00,,2026-04-17,3.65
2026-04-17 03:40:00,,2026-04-17,3.6666666666666665
2026-04-17 03:41:00,,2026-04-17,3.6833333333333336
2026-04-17 03:42:00,,2026-04-17,3.7
2026-04-17 03:43:00,,2026-04-17,3.716666666666667
2026-04-17 03:44:00,,2026-04-17,3.7333333333333334
2026-04-17 03:45:00,,2026-04-17,3.75
2026-04-17 03:46:00,,2026-04-17,3.7666666666666666
2026-04-17 03:47:00,,2026-04-17,3.783333333333333
2026-04-17 03:48:00,,2026-04-17,3.8
2026-04-17 03:49:00,,2026-04-17,3.8166666666666664
2026-04-17 03:50:00,,2026-04-17,3.8333333333333335
2026-04-17 03:51:00,,2026-04-17,3.85
2026-04-17 03:52:00,,2026-04-17,3.8666666666666667
2026-04-17 03:53:00,,2026-04-17,3.8833333333333333
2026-04-17 03:54:00,,2026-04-17,3.9
2026-04-17 03:55:00,,2026-04-17,3.9166666666666665
2026-04-17 03:56:00,,2026-04-17,3.9333333333333336
2026-04-17 03:57:00,,2026-04-17,3.95
2026-04-17 03:58:00,,2026-04-17,3.966666666666667
2026-04-17 03:59:00,,2026-04-17,3.9833333333333334
2026-04-17 04:00:00,,2026-04-17,4.0
2026-04-17 04:01:00,,2026-04-17,4.016666666666667
2026-04-17 04:02:00,,2026-04-17,4.033333333333333
2026-04-17 04:03:00,,2026-04-17,4.05
